Block Type,96well,,,,,,,,,,,,,,,,,,,,
Chemistry,SYBR_GREEN,,,,,,,,,,,,,,,,,,,,
Experiment File Name,D:\Applied Biosystems\StepOne Software v2.1\experiments\Ana\Lauren\Ofav_SYBR1.eds,,,,,,,,,,,,,,,,,,,,
Experiment Run End Time,2018-03-05 19:55:56 PM EST,,,,,,,,,,,,,,,,,,,,
Instrument Type,steponeplus,,,,,,,,,,,,,,,,,,,,
Passive Reference,ROX,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
Well,Sample Name,Target Name,Task,Reporter,Quencher,C_,Cт Mean,Cт SD,Quantity,Quantity Mean,Quantity SD,Automatic Ct Threshold,Ct Threshold,Automatic Baseline,Baseline Start,Baseline End,Comments,BADROX,HIGHSD,NOISE,NOSIGNAL
D5,Sample 12,Ofav,UNKNOWN,SYBR,None,24.362909317,24.5255241394,0.2299707383,,,,0,0.1,1,3,21,,N,N,N,N
D6,Sample 12,D,UNKNOWN,SYBR,None,25.5895137787,25.3659114838,0.3162213862,,,,0,0.1,1,3,22,,N,N,N,N
D7,Sample 12,Ofav,UNKNOWN,SYBR,None,24.6881370544,24.5255241394,0.2299707383,,,,0,0.1,1,3,21,,N,N,N,N
D8,Sample 12,D,UNKNOWN,SYBR,None,25.1423091888,25.3659114838,0.3162213862,,,,0,0.1,1,3,21,,N,N,N,N
D9,Sample 19,Ofav,UNKNOWN,SYBR,None,23.1658687592,23.4865894318,0.4535675347,,,,0,0.1,1,3,19,,N,N,N,N
D10,Sample 19,D,UNKNOWN,SYBR,None,24.6120243073,24.6512031555,0.0554072596,,,,0,0.1,1,3,21,,N,N,N,N
D11,Sample 19,Ofav,UNKNOWN,SYBR,None,23.8073101044,23.4865894318,0.4535675347,,,,0,0.1,1,3,20,,N,N,N,N
D12,Sample 19,D,UNKNOWN,SYBR,None,24.6903820038,24.6512031555,0.0554072596,,,,0,0.1,1,3,21,,N,N,N,N
E1,Sample 5,Ofav,UNKNOWN,SYBR,None,22.4237861633,22.3657741547,0.0820413679,,,,0,0.1,1,3,19,,N,N,N,N
E2,Sample 5,D,UNKNOWN,SYBR,None,24.4114665985,24.6991577148,0.406858027,,,,0,0.1,1,3,20,,N,N,N,N
E3,Sample 5,Ofav,UNKNOWN,SYBR,None,22.307762146,22.3657741547,0.0820413679,,,,0,0.1,1,3,19,,N,N,N,N
